기준년월,내판매순위,코드,명,매장코드,매장명,판매상품SEQ,판매상품명
202010,1,S000001,서울만남(부산),25,말죽거리한식당,1100001910,말죽거리소고기국밥
202010,2,S000001,서울만남(부산),98,탐앤탐스,1100023859,아이스카페아메리카노 
202010,3,S000001,서울만남(부산),7,호도과자,1100026712,소떡소떡(신)
202010,4,S000001,서울만남(부산),98,탐앤탐스,1100023881,카페아메리카노 
202010,5,S000001,서울만남(부산),7,호도과자,1100031216,매직핫도그(4500)
202010,1,S000003,죽전(서울),7,호도과자코너,1100029858,호도호두과자(5000)
202010,2,S000003,죽전(서울),2,자율식당,1100033477,단배추바지락된장국(표준레시피)
202010,3,S000003,죽전(서울),72,달달구리(청년창업),1100030867,달달구리꽈배기
202010,4,S000003,죽전(서울),8,간식코너,1100029685,소떡소떡
202010,5,S000003,죽전(서울),2,자율식당,1100021849,공기밥(자율) 
202010,1,S000005,기흥(부산),15,던킨도너츠,1100015242,던킨빵음료 3700
202010,2,S000005,기흥(부산),13,델리쉐프,1100003968,저가떡볶이
202010,3,S000005,기흥(부산),94,네파,1300000166,의류(전문매장)
202010,4,S000005,기흥(부산),2,한식당,1100033409,소고기국밥(표준레시피)
202010,5,S000005,기흥(부산),15,던킨도너츠,1300012813,던킨)먼치킨(4000)
202010,1,S000007,안성(서울),5,1.안성한우국밥곰탕,1100001942,11.자연마춤한우국밥10.0
202010,2,S000007,안성(서울),157,6.핫바(신),1100020736,1.소떡소떡3.5(옥두식품/핫바)
202010,3,S000007,안성(서울),162,6.호두과자(신),1100018904,호두과자5.0(봉투)
202010,4,S000007,안성(서울),162,6.호두과자(신),1100017574,호두과자10.0
202010,5,S000007,안성(서울),153,5.할리스커피(신),1100017900,할리I 4.1
202010,1,S000009,안성(부산),72,1.안성국밥/비빔밥,1100023467,1.안성국밥
202010,2,S000009,안성(부산),61,5.열린매장 A,1100026712,소떡소떡(신)
202010,3,S000009,안성(부산),58,2.소머리국밥,1100027561,소머리국밥
202010,4,S000009,안성(부산),92,7.마노,1100017337,멘보샤
202010,5,S000009,안성(부산),63,5.열린매장 B,1100026712,소떡소떡(신)
202010,1,S000011,입장거봉포도(서울),50,탐앤탐스(커피),1100023859,아이스카페아메리카노.[4100]-탐탐-엘로우
202010,2,S000011,입장거봉포도(서울),134,호두과자(18년직영),1100006284,호두과자10000(케이스)-케이알
202010,3,S000011,입장거봉포도(서울),134,호두과자(18년직영),1100006261,호두과자5000-케이알
202010,4,S000011,입장거봉포도(서울),50,탐앤탐스(커피),1100023881,카페아메리카노.[4100]-탐탐-엘로우
202010,5,S000011,입장거봉포도(서울),64,신토불이(군밤),1100011425,군밤/군고구마[5000]-신토불이
202010,1,S000013,망향(부산),12,501_호두과자,1100006235,호도과자 
202010,2,S000013,망향(부산),12,501_호두과자,1100006220,3000호도과자 
202010,3,S000013,망향(부산),12,501_호두과자,1100006284,10000호두과자 
202010,4,S000013,망향(부산),80,P01_커피니,1100024586,아이스아메리카노(커피니) 
202010,5,S000013,망향(부산),65,G_01벤제프,1300008596,의류(전문매장) 동광의류(100000)
202010,1,S000015,천안삼거리(서울),8,350_호두과자1,1100006289,명품호두과자(10000)
202010,2,S000015,천안삼거리(서울),8,350_호두과자1,1100021753,명품호두과자5000(간식용) 
202010,3,S000015,천안삼거리(서울),8,350_호두과자1,1100006291,명품호두과자(3000)
202010,4,S000015,천안삼거리(서울),4,120_한식당,1100033402,돌솥비빔밥(표준레시피)
202010,5,S000015,천안삼거리(서울),64,450_오징어(직영),1100028770,떡햄바
202010,1,S000017,천안호두(부산),20,호도과자코너,1100021242,호두과자(5000) 
202010,2,S000017,천안호두(부산),20,호도과자코너,1100021243,호두과자(10000) 
202010,3,S000017,천안호두(부산),20,호도과자코너,1100021240,호두과자(2000) 
202010,4,S000017,천안호두(부산),4,5.한식,1100019231,우거지사골국밥 
202010,5,S000017,천안호두(부산),65,탐앤탐스,1100023859,아이스아메리카노아이스티(복숭아레몬)
202010,1,S000021,옥산(부산),2,식당(일반),1100032573,묵은지꽁치찌개
202010,2,S000021,옥산(부산),54,의류매장,1300000816,클라이머홀릭100000
202010,3,S000021,옥산(부산),136,놀부부대찌개,1100024200,놀부부대찌개
202010,4,S000021,옥산(부산),2,식당(일반),1100033357,소고기국밥 소고기국밥(8000)(표준레시피)
202010,5,S000021,옥산(부산),5,스낵(라면),1100004232,(실속)신(辛)라면 
202010,1,S000024,죽암(서울),42,120_한식당(신규),1100023738,해물순두부 
202010,2,S000024,죽암(서울),114,127_탐앤탐스(직영),1100023881,카페아메리카노(탐탐)
202010,3,S000024,죽암(서울),86,990_EX카페,1100028919,ex-cafe아메리카노(I)
202010,4,S000024,죽암(서울),114,127_탐앤탐스(직영),1100023859,아이스카페아메리카노(탐탐)
202010,5,S000024,죽암(서울),13,350_호두과자,1100021753,명품호두과자5000(간식용) 
202010,1,S000026,죽암(부산),14,호두과자,1100006235,3.호두과자(5000)
202010,2,S000026,죽암(부산),33,죽암왕갈비탕,1100021679,보은대추왕갈비탕
202010,3,S000026,죽암(부산),14,호두과자,1100006284,4.호두과자(10000)
202010,4,S000026,죽암(부산),61,탐앤탐스,1100023859,92. (아이스)아메리카노아이스티 4100 
202010,5,S000026,죽암(부산),1,산뜰愛(애),1100025864,등심돈가스(9000)
202010,1,S000028,신탄진(서울),16,420_호도과자,1100006220,3000호도과자 
202010,2,S000028,신탄진(서울),47,550_탐앤탐스,1100023859,아이스카페아메리카노 
202010,3,S000028,신탄진(서울),12,180_기사전용식당,1100000262,뚝배기동태탕(기)
202010,4,S000028,신탄진(서울),12,180_기사전용식당,1100001131,고추장불고기(기)
202010,5,S000028,신탄진(서울),47,550_탐앤탐스,1100023881,카페아메리카노 
202010,1,S000032,옥천(서울),67,식당(한식),1100032664,한방닭곰탕(9000)
202010,2,S000032,옥천(서울),71,커피(할리스),1100017900,[할]ICE아메리카노[빨]
202010,3,S000032,옥천(서울),67,식당(한식),1100033340,순두부찌개(7500)(표준레시피)
202010,4,S000032,옥천(서울),67,식당(한식),1100033365,김치찌개(7500)(표준레시피)
202010,5,S000032,옥천(서울),71,커피(할리스),1100017876,[할]HOT아메리카노[빨]
202010,1,S000034,금강(부산),1,본관 의류((미사용),1300002081,의류(50000)
202010,2,S000034,금강(부산),1,본관 의류((미사용),1100021036,농심유부우동
202010,3,S000034,금강(부산),66,탐앤탐스(하행),1100015195,(탐스-상)초코라떼-핫초코릿 
202010,4,S000034,금강(부산),66,탐앤탐스(하행),1100023941,(하)카페아메리카노 카페아메리카노
202010,5,S000034,금강(부산),48,롯데리아,1100006555,(★롯데리아)불고기버거세트 
202010,1,S000036,황간(부산),73,맛남의식당,1100000269,영표국밥(6000)
202010,2,S000036,황간(부산),5,식당(한식),1100033361,차돌된장찌개와솥밥 차돌된장찌개(8000)(표준레시피)
202010,3,S000036,황간(부산),59,커피(할리스),1100017900,아이스아메리카노 
202010,4,S000036,황간(부산),59,커피(할리스),1100017876,카페아메리카노 
202010,5,S000036,황간(부산),66,코바코돈가스,1100030442,수제왕돈까스 통등심돈가스
202010,1,S000038,황간(서울),64,맛남의식당,1100000269,영표국밥(6000)
202010,2,S000038,황간(서울),50,커피(할리스),1100017900,아이스아메리카노 
202010,3,S000038,황간(서울),4,식당(한식),1100033361,차돌된장찌개와솥밥 차돌된장찌개(8000)(표준레시피)
202010,4,S000038,황간(서울),50,커피(할리스),1100017876,카페아메리카노 
202010,5,S000038,황간(서울),4,식당(한식),1100025321,간큰고등어(9000) 고등어구이신규
202010,1,S000040,추풍령(부산),6,칼국수,1100023532,사골칼제비(7500)
202010,2,S000040,추풍령(부산),32,지례흑돼지,1100027329,한돈고추장불고기
202010,3,S000040,추풍령(부산),2,전문식당,1100033332,돌솥비빔밥(7500)(표준레시피)
202010,4,S000040,추풍령(부산),60,할리스,1100017876,카페아메리카노 
202010,5,S000040,추풍령(부산),60,할리스,1100017900,아이스아메리카노 
202010,1,S000042,추풍령(서울),6,스낵(칼국수외),1100023532,하노이쌀국수양지
202010,2,S000042,추풍령(서울),80,할리스,1100017876,카페아메리카노
202010,3,S000042,추풍령(서울),2,식당(한식),1100001167,김천지례 흑돼지오삼 석쇠구이 
202010,4,S000042,추풍령(서울),80,할리스,1100017900,아이스아메리카노
202010,5,S000042,추풍령(서울),2,식당(한식),1100033332,돌솥비빔밥(7500)(표준레시피)
202010,1,S000044,칠곡(부산),33,호도/잡화,1100029857,호도호두과자(10000)
202010,2,S000044,칠곡(부산),1,자율식당,1100021849,공기밥(자율) 
202010,3,S000044,칠곡(부산),2,죠이마트,1200002374,에쎄엣지  필드 
202010,4,S000044,칠곡(부산),11,간식코너,1100033690,부산오뎅
202010,5,S000044,칠곡(부산),8,우동김밥전문점,1100031968,가락속풀이생라면
202010,1,S000046,칠곡(서울),29,할리스커피,1100017900,아이스아메리카노 
202010,2,S000046,칠곡(서울),12,자율식당,1100021849,공기밥(자율) 
202010,3,S000046,칠곡(서울),18,우동/김밥,1100031968,가락속풀이생라면
202010,4,S000046,칠곡(서울),55,탐앤탐스커피,1100023859,아이스카페아메리카노 
202010,5,S000046,칠곡(서울),20,호도과자,1100029858,호도호두과자(5000)
202010,1,S000050,평사(부산),32,엔제리너스,1100029820,아메리카노(I)S
202010,2,S000050,평사(부산),32,엔제리너스,1100029823,아메리카노(H)S
202010,3,S000050,평사(부산),10,간식코너,1100029685,우리쌀고구마소떡소떡
202010,4,S000050,평사(부산),7,한식전문점,1100031963,뽀글이돼지찌개정식
202010,5,S000050,평사(부산),1,편의점,1200040553,에쎄체인지히말라야
202010,1,S000052,건천(서울),43,탐앤탐스,1100023859,I카페아메리카노.[4100]-탐앤탐스
202010,2,S000052,건천(서울),48,던킨도너츠,1100027177,ice)아메리카노 - 新던킨
202010,3,S000052,건천(서울),66,한식(직영),1100019830,돼지고기김치찌개(8500)
202010,4,S000052,건천(서울),66,한식(직영),1100033360,매콤순두부찌개(8500)
202010,5,S000052,건천(서울),66,한식(직영),1100033475,소불고기비빔밥(8500)표준
202010,1,S000054,건천(부산),38,엔제리너스,1100029820,아메리카노(I)S
202010,2,S000054,건천(부산),38,엔제리너스,1100029823,아메리카노(H)S
202010,3,S000054,건천(부산),33,간식,1100029685,우리쌀고구마소떡소떡
202010,4,S000054,건천(부산),28,한식전문점,1100033479,해물순두부(표준레시피)1
202010,5,S000054,건천(부산),33,간식,1100029065,웨스턴핫바
202010,1,S000057,언양(서울),60,간식코너,1100029685,우리쌀고구마소떡소떡
202010,2,S000057,언양(서울),1,편의점,1300013050,에쎄체인지프로즌
202010,3,S000057,언양(서울),10,자율식당,1100021849,공기밥(자율) 
202010,4,S000057,언양(서울),10,자율식당,1100033563,묵은지김치찌개(표준레시피)
202010,5,S000057,언양(서울),23,던킨도너츠,1100027177,아이스아메리카노
202010,1,S000062,양산(서울),34,할리스,1100017900,아이스아메리카노 
202010,2,S000062,양산(서울),34,할리스,1100017876,카페아메리카노 
202010,3,S000062,양산(서울),11,009_스낵코너,1100027284,소떡소떡(신)
202010,4,S000062,양산(서울),18,011_한양식당,1100031386,순두부찌개(표준레시피)
202010,5,S000062,양산(서울),11,009_스낵코너,1100031264,프리미엄해물바(순한매운맛)
202010,1,S000063,진영(부산),85,탐앤탐스(옥외),1100023859,아이스카페아메리카노 
202010,2,S000063,진영(부산),2,100_한식당,1100030570,흑돼지김치찌개
202010,3,S000063,진영(부산),32,370_호두과자(외주),1100006235,호도과자 
202010,4,S000063,진영(부산),28,350_열린매장,1100026712,소떡소떡(신)
202010,5,S000063,진영(부산),81,630_수제달인어묵,1100030467,달인수제어묵2개
202010,1,S000064,진영(순천),80,탐앤탐스(옥외),1100023859,아이스카페아메리카노 
202010,2,S000064,진영(순천),6,110_한식당,1100031388,생고기김치찌개
202010,3,S000064,진영(순천),6,110_한식당,1100026759,전통사골육개장
202010,4,S000064,진영(순천),105,330_호두과자(직영),1100029858,호도호두과자(5000)
202010,5,S000064,진영(순천),81,로띠번,1100026458,로띠번
202010,1,S000071,문산(순천),39,고운동커피2,1100007694,H-1아메리카노(3800)
202010,2,S000071,문산(순천),51,의류매장(그린조이),1300000300,의류(10000)
202010,3,S000071,문산(순천),51,의류매장(그린조이),1300007585,의류(100000)
202010,4,S000071,문산(순천),39,고운동커피2,1100007693,I-1아메리카노(3800)
202010,5,S000071,문산(순천),2,케셔(좌),1100017550,1.엄마손된장찌개(8500)
202010,1,S000073,사천(부산),44,할리스커피,1100021621,아이스아메리카노 [할]ICE아메리카노[빨]
202010,2,S000073,사천(부산),2,한식전문점,1100021835,옛날제육덮밥
202010,3,S000073,사천(부산),44,할리스커피,1100017876,카페아메리카노 
202010,4,S000073,사천(부산),49,즉석코너,1100027284,소떡소떡(신)
202010,5,S000073,사천(부산),49,즉석코너,1100029059,옛날핫도그
202010,1,S000074,사천(순천),48,할리스커피,1100017900,아이스아메리카노 
202010,2,S000074,사천(순천),48,할리스커피,1100017876,카페아메리카노 
202010,3,S000074,사천(순천),53,즉석코너,1100027284,소떡소떡(신)
202010,4,S000074,사천(순천),2,한식전문점,1100021835,제육덮밥
202010,5,S000074,사천(순천),53,즉석코너,1100026737,옛날핫도그(신)
202010,1,S000077,섬진강(부산),3,커피전문점,1100005382,아이스아메리카노(딜/신/3800)
202010,2,S000077,섬진강(부산),3,커피전문점,1100007694,아메리카노(딜/신/3800)
202010,3,S000077,섬진강(부산),6,즉석케셔,1100026712,소떡소떡(3500)
202010,4,S000077,섬진강(부산),25,1층한식당우동2,1100024042,얼큰순두부찌개(8000)
202010,5,S000077,섬진강(부산),28,의류매장,1300000815,의류(100000)
202010,1,S000078,섬진강(순천),26,의류,1300000815,의류(100000)
202010,2,S000078,섬진강(순천),26,의류,1300000298,의류(10000)
202010,3,S000078,섬진강(순천),8,커피딜라이트,1100007694,아메리카노(딜/신/3800)
202010,4,S000078,섬진강(순천),4,한식/우동/코바코,1100011520,재첩국(7500)
202010,5,S000078,섬진강(순천),4,한식/우동/코바코,1100024042,얼큰순두부찌개(8000) 
202010,1,S000083,거창(대구),25,할리스(상),1100017900,아이스아메리카노 
202010,2,S000083,거창(대구),25,할리스(상),1100017876,카페아메리카노 
202010,3,S000083,거창(대구),4,100_스낵코너(상),1100026839,모듬꼬치(소떡소떡)
202010,4,S000083,거창(대구),4,100_스낵코너(상),1100006235,호도과자 
202010,5,S000083,거창(대구),3,020_한식우동코너(상),1100028987,얼큰돼지김치찌개
202010,1,S000084,거창(광주),23,할리스(하),1100017876,카페아메리카노 
202010,2,S000084,거창(광주),23,할리스(하),1100017900,아이스아메리카노 
202010,3,S000084,거창(광주),4,100_스낵코너(하),1100026839,모둠꼬치
202010,4,S000084,거창(광주),3,020_한식우동코너(하),1100028987,얼큰돼지김치찌개
202010,5,S000084,거창(광주),4,100_스낵코너(하),1100026838,불갈비맛소세지
202010,1,S000087,지리산(대구),2,식당(일반),1100033350,흑돼지김치찌개7500(표준레시피)
202010,2,S000087,지리산(대구),2,식당(일반),1100026669,춘향남원추어탕
202010,3,S000087,지리산(대구),2,식당(일반),1100033659,지리산산채비빔밥(표준레시피)
202010,4,S000087,지리산(대구),41,의류매장,1300000818,클라이머(100000)
202010,5,S000087,지리산(대구),42,던킨도너츠,1100027177,아이스아메리카노
202010,1,S000088,지리산(광주),2,식당(일반),1100026669,춘향남원추어탕
202010,2,S000088,지리산(광주),32,외부매장(직영),1100026712,소떡소떡(신)
202010,3,S000088,지리산(광주),48,던킨도너츠,1100027178,카페아메리카노
202010,4,S000088,지리산(광주),19,할리스,1100017876,HOT카페아메리카노[빨]
202010,5,S000088,지리산(광주),39,의류매장,1300000348,클라이머홀릭(10000)
202010,1,S000092,화성(서울),83,할리스0083,1100017900,ICE아메리카노[빨]
202010,2,S000092,화성(서울),6,외부매장(호두과자),1100006220,3000호두과자 
202010,3,S000092,화성(서울),104,외부매장(꽈베기),1100030210,못난이찹쌀꽈배기
202010,4,S000092,화성(서울),104,외부매장(꽈베기),1100032235,꽈배기(10000)
202010,5,S000092,화성(서울),6,외부매장(호두과자),1100006235,5000호두과자 
202010,1,S000093,화성(목포),7,외부매장(호두과자),1100006220,3000호도과자 
202010,2,S000093,화성(목포),48,의류매장,1300000815,의류(전문매장) JDX골프(100000)
202010,3,S000093,화성(목포),92,커피(할리스),1100017900,[할]ICE아메리카노[빨]
202010,4,S000093,화성(목포),3,식당(한식),1100033792,화성궁중비빔밥(8000)표준
202010,5,S000093,화성(목포),119,직영매장(어묵핫바),1100026712,소떡소떡(신)
202010,1,S000098,서산(목포),1,냉면코너,1200003850,조지아오리지널 
202010,2,S000098,서산(목포),42,네파,1300008627,의류(전문매장) 캠핑(용품)행사(100000)
202010,3,S000098,서산(목포),1,냉면코너,1300012445,단호박칩
202010,4,S000098,서산(목포),42,네파,1300000606,의류(전문매장) 의류(전문매장)
202010,5,S000098,서산(목포),42,네파,1300002912,의류(200000) 의류(200000)
202010,1,S000100,서산(서울),47,탐앤탐스,1100023859,아이스카페아메리카노 
202010,2,S000100,서산(서울),11,호두스낵코너(최신),1100026692,허브통살꼬치
202010,3,S000100,서산(서울),47,탐앤탐스,1100023881,카페아메리카노 
202010,4,S000100,서산(서울),11,호두스낵코너(최신),1300000312,의류(전문매장) 포나인
202010,5,S000100,서산(서울),11,호두스낵코너(최신),1100026712,소떡소떡(신)
202010,1,S000102,대천(서울),8,오징어토스트,1100019065,153아메리카노(ice)
202010,2,S000102,대천(서울),5,드롭탑(커피),1100026093,아메리카노/드롭탑
202010,3,S000102,대천(서울),66,멕스웰하우스,1100019068,153아메리카노(hot)
202010,4,S000102,대천(서울),8,오징어토스트,1100020321,춤추는오짱(대) 춤추는오짱(대)
202010,5,S000102,대천(서울),59,국수매장,1100024625,떡라면
202010,1,S000103,대천(목포),55,의류매장(임시),1300000348,클라이머홀릭(10000)
202010,2,S000103,대천(목포),8,커피(드롭탑),1100026093,아메리카노/드롭탑
202010,3,S000103,대천(목포),8,커피(드롭탑),1100026110,ICE아메리카노/드롭탑
202010,4,S000103,대천(목포),3,한식당,1100024876,우리콩순두부찌개
202010,5,S000103,대천(목포),3,한식당,1100023412,제육돌솥비빔밥
202010,1,S000106,군산(서울),45,의류매장,1300000100,의류(전문매장) 
202010,2,S000106,군산(서울),43,동빵,1100023709,동빵(5000) 
202010,3,S000106,군산(서울),43,동빵,1100023708,동빵(10000) 
202010,4,S000106,군산(서울),53,카페베네(연동),1100025814,아이스아메리카노(R)
202010,5,S000106,군산(서울),41,무인식권발매기,1100011964,공기밥(부페) 공기밥(1000)
202010,1,S000108,군산(목포),2,020_한식양식,1100017244,라면정식 라면정식
202010,2,S000108,군산(목포),10,열린매장,1100026704,웨스턴핫바(신)
202010,3,S000108,군산(목포),10,열린매장,1100006295,즉석호두과자
202010,4,S000108,군산(목포),2,020_한식양식,1100018449,옥구우거지국밥
202010,5,S000108,군산(목포),1,010_편의점,1200003796,황룡당만주 
202010,1,S000110,고창고인돌(목포),2,한양식전문점,1100023412,돌솥비빔밥(8000)
202010,2,S000110,고창고인돌(목포),68,드롭탑,1100026093,아메리카노/드롭탑
202010,3,S000110,고창고인돌(목포),52,의류매장,1300000815,의류(전문매장) 의류(전문매장)
202010,4,S000110,고창고인돌(목포),2,한양식전문점,1100024627,김치두부찌개(8000)
202010,5,S000110,고창고인돌(목포),9,호떡오징어매장,1100026712,소떡소떡(신)
202010,1,S000112,고창고인돌(서울),48,드롭탑,1100026093,아메리카노/드롭탑
202010,2,S000112,고창고인돌(서울),48,드롭탑,1100027285,아메리카노(L)
202010,3,S000112,고창고인돌(서울),2,한식전문점,1100027322,해물순두부(한식)
202010,4,S000112,고창고인돌(서울),2,한식전문점,1100017663,돌솥비빔밥
