휴게소명,도로명,경도,위도
만남의광장,경부선,127.039722,37.4601323
죽전,경부선,127.10433,37.33263
기흥(부산),경부선,127.10519,37.23509
안성(서울),경부선,127.14498,37.01386
안성(부산),경부선,127.13152,37.076769
망향(부산),경부선,127.181609,36.855309
옥산(부산),경부선,127.37072,36.6572
천안(삼)(서울),경부선,127.17292,36.78765
천안(부산),경부선,127.26427,36.73053
죽암(서울),경부선,127.43043,36.496849
죽암(부산),경부선,127.42972,36.48664
금강(부산),경부선,127.67105,36.279039
옥천(서울),경부선,127.598739,36.2974
황간(서울),경부선,127.85449,36.24897
황간(부산),경부선,127.8532,36.24885
입장(서울),경부선,127.192309,36.942319
추풍령(서울),경부선,128.002749,36.19983
추풍령(부산),경부선,128.00092,36.20045
칠곡(서울),경부선,128.43028,36.01224
경산(서울),경부선,128.81038,35.87871
평사(부산),경부선,128.866989,35.88575
칠곡(부산),경부선,128.42938,36.019549
건천(서울),경부선,129.109214,35.831545
건천(부산),경부선,129.109468,35.83027
언양(서울),경부선,129.141534,35.598051
신탄진(서울),경부선,127.4174485,36.4282738
옥천(부산),경부선,127.59546,36.29743
경주(부산),경부선,129.19315,35.72387
금강(서울),경부선,126.99932,36.51959
청주(서울),경부선,127.26812,35.69048
김천(서울),경부선,127.35148,35.33745
김천(부산),경부선,127.35395,35.33724
통도사(부산),경부선,128.26012,36.01039
양산(서울),경부선,128.260979,36.00851
섬진강(순천),남해선(순천-부산),127.76938,34.985209
섬진강(부산),남해선(순천-부산),127.77011,34.98476
진영(순천),남해선(순천-부산),128.71605,35.27963
진영(부산),남해선(순천-부산),128.7158,35.278349
문산(순천),남해선(순천-부산),128.152279,35.17147
사천(순천),남해선(순천-부산),128.01262,35.074639
사천(부산),남해선(순천-부산),128.010879,35.0736
함안(부산),남해선(순천-부산),127.48413,36.542629
함안(순천),남해선(순천-부산),126.509641,35.242843
진주(부산),남해선(순천-부산),127.19393,35.8767
보성녹차(무안),남해선(영암-순천),127.1327444,34.8165895
보성녹차(광양),남해선(영암-순천),127.1327444,34.8165859
남원(대구),광주대구선,127.34224,35.41653
지리산(대구),광주대구선,127.56746,35.48363
지리산(고서),광주대구선,127.5671,35.48121
거창(대구),광주대구선,128.057079,35.70811
거창(고서),광주대구선,128.05694,35.70607
함양산삼골(고서),광주대구선,127.7579,35.53256
논공(고서),광주대구선,128.4009873,35.7661116
함양산삼골(대구),광주대구선,127.1963,35.87726
논공(대구),광주대구선,127.26749,35.68851
강천산(대구),광주대구선,127.10588,35.36544
강천산(광주),광주대구선,127.10437,35.36436
함평나비(광주),무안광주선,126.51149,35.03763
함평나비(무안),무안광주선,126.50903,35.03789
