휴게소명,도로명,경도,위도
만남의광장,경부선,9999,9999
죽전,경부선,127.104330,37.332630
기흥(부산),경부선,127.105190,37.235090
안성(서울),경부선,127.144980,37.013860
안성(부산),경부선,127.131520,37.076769
망향(부산),경부선,127.181609,36.855309
옥산(부산),경부선,127.370720,36.657200
천안(삼)(서울),경부선,127.172920,36.787650
천안(부산),경부선,127.264270,36.730530
죽암(서울),경부선,127.430430,36.496849
죽암(부산),경부선,127.429720,36.486640
금강(부산),경부선,127.671050,36.279039
옥천(서울),경부선,127.598739,36.297400
황간(서울),경부선,127.854490,36.248970
황간(부산),경부선,127.853200,36.248850
입장(서울),경부선,127.192309,36.942319
추풍령(서울),경부선,128.002749,36.199830
추풍령(부산),경부선,128.000920,36.200450
칠곡(서울),경부선,128.430280,36.012240
경산(서울),경부선,128.810380,35.878710
평사(부산),경부선,128.866989,35.885750
칠곡(부산),경부선,128.429380,36.019549
건천(서울),경부선,129.109214,35.831545
건천(부산),경부선,129.109468,35.830270
언양(서울),경부선,129.141534,35.598051
신탄진(서울),경부선,9999,9999
옥천(부산),경부선,127.595460,36.297430
경주(부산),경부선,129.193150,35.723870
금강(서울),경부선,126.999320,36.519590
청주(서울),경부선,127.268120,35.690480
김천(서울),경부선,127.351480,35.337450
김천(부산),경부선,127.353950,35.337240
통도사(부산),경부선,128.260120,36.010390
양산(서울),경부선,128.260979,36.008510
섬진강(순천),남해선(순천-부산),127.769380,34.985209
섬진강(부산),남해선(순천-부산),127.770110,34.984760
진영(순천),남해선(순천-부산),128.716050,35.279630
진영(부산),남해선(순천-부산),128.715800,35.278349
문산(순천),남해선(순천-부산),128.152279,35.171470
사천(순천),남해선(순천-부산),128.012620,35.074639
사천(부산),남해선(순천-부산),128.010879,35.073600
함안(부산),남해선(순천-부산),127.484130,36.542629
함안(순천),남해선(순천-부산),126.509641,35.242843
진주(부산),남해선(순천-부산),127.193930,35.876700
보성녹차(무안),남해선(영암-순천),9999,9999
보성녹차(광양),남해선(영암-순천),9999,9999
남원(대구),광주대구선,127.342240,35.416530
지리산(대구),광주대구선,127.567460,35.483630
지리산(고서),광주대구선,127.567100,35.481210
거창(대구),광주대구선,128.057079,35.708110
거창(고서),광주대구선,128.056940,35.706070
함양산삼골(고서),광주대구선,127.757900,35.532560
논공(고서),광주대구선,9999,9999
함양산삼골(대구),광주대구선,127.196300,35.877260
논공(대구),광주대구선,127.267490,35.688510
강천산(대구),광주대구선,127.105880,35.365440
강천산(광주),광주대구선,127.104370,35.364360
함평나비(광주),무안광주선,126.511490,35.037630
함평나비(무안),무안광주선,126.509030,35.037890
화성(서울),서해안선,126.880730,37.143370
화성(목포),서해안선,126.879400,37.145460
행담도(목포),서해안선,126.808669,36.944530
대천(서울),서해안선,126.557690,36.374120
대천(목포),서해안선,126.556290,36.373210
서산(서울),서해안선,126.565650,36.733779
서산(목포),서해안선,126.565630,36.742870
군산(서울),서해안선,126.797050,36.018830
군산(목포),서해안선,126.829300,35.981090
함평(목포),서해안선,126.478770,35.069530
함평(서울),서해안선,126.481640,35.130800
홍성(서울),서해안선,126.581520,36.553039
홍성(무안),서해안선,126.579960,36.552740
서천(서울),서해안선,126.627430,36.131450
서천(목포),서해안선,126.626700,36.129920
고창고인돌(서울),서해안선,126.846100,36.619150
고창고인돌(목포),서해안선,126.840140,36.623480
목감(서울),서해안선,9999,9999
매송(서울),서해안선,129.013494,36.455646
매송(목포),서해안선,128.745596,37.965160
영천(포항),대구포항선,129.042250,36.051990
영천(대구),대구포항선,129.045020,36.052450
청통,대구포항선,128.859690,35.993640
와촌,대구포항선,9999,9999
마이산(장수),익산장수선,128.344439,35.294219
마이산(익산),익산장수선,127.580100,37.278650
진안(익산),익산장수선,9999,9999
진안(장수),익산장수선,9999,9999
여산(천안),호남선,127.104390,36.048559
여산(순천),호남선,127.103130,36.048690
정읍(천안),호남선,126.863870,35.600590
정읍(순천),호남선,126.862200,35.600960
주암(순천),호남선,127.264270,35.076340
곡성(천안),호남선,127.152460,35.259130
백양사(천안),호남선,126.806980,35.393090
백양사(순천),호남선,126.805770,35.394450
주암(천안),호남선,127.265490,35.076580
곡성(순천),호남선,127.150860,35.258620
순천(순천),호남선,127.445170,35.008800
이서(순천),호남선,9999,9999
이서(천안),호남선,9999,9999
정안(천안),논산천안선,127.578510,37.278680
정안(순천),논산천안선,127.025350,35.801990
이인(천안),논산천안선,127.024430,35.804000
탄천(순천),논산천안선,127.102965,37.372309
관촌(전주),순천완주선,126.679630,36.791100
관촌(광양),순천완주선,126.678810,36.790510
오수(완주),순천완주선,128.402709,35.765160
오수(순천),순천완주선,127.571338,36.309081
황전(완주),순천완주선,9999,9999
황전(순천),순천완주선,9999,9999
화서,청주영덕선,127.922860,36.444520
속리산,청주영덕선,128.164819,36.129380
의성(청주),청주영덕선,9999,9999
의성(영덕),청주영덕선,129.288150,35.672950
청송(청주),청주영덕선,129.285730,35.672520
청송(영덕),청주영덕선,127.343750,35.415720
