name,address
서울만남(부산),서울 서초구 원지동10-16
기흥(부산),경기 용인시 기흥구공세로 173 기흥휴게소
안성(부산),경기 안성시 원곡면경부고속도로 365
망향(부산),충남 천안시 성거읍요방리 121
옥산(부산),충북 청원군 옥산면오산리 589-15
천안호두(부산),충남 천안시 수신면신풍리 447-3
죽암(부산),충북 청원군 현도면선동1길 40-58
금강(부산),충북 옥천군 동이면조령리 568
황간(부산),충북 영동군 황간면회포리 103-2
추풍령(부산),경북 김천시 봉산면광천리 691
평사(부산),경북 경산시 진량읍경부고속도로105
칠곡(부산),경북 칠곡군 왜관읍아곡리(경부고속도로) 159
건천(부산),경북 경주시 건천읍방내리 14
언양(부산),울산광역시 울주군 언양읍태기리 684-1
옥천(부산),충북 옥천군 옥천읍매화리 236-16
경주(부산),경북 경주시 내남면월산리
김천(부산),경북 김천시 농소면신촌리 730-2
옥천만남의광장,충북 옥천군 옥천읍중앙로 135
죽전(서울),경기 용인시 죽전2동866-2 
안성(서울),경기도 안성군 원곡면산하리 경부고속도로 372
천안삼거리(서울),충남 천안시 구성동171
죽암(서울),충북 청원군 현도면죽전리 314
옥천(서울),충북 옥천군 옥천읍매화리(옥천동이로) 옥천동이로 242-34
황간(서울),충북 영동군 황간면회포리 114
입장거봉포도(서울),충남 천안시 입장면가산리 361-7
추풍령(서울),경북 김천시 봉산면광천리 737-1
칠곡(서울),경북 칠곡군 왜관읍아곡리 138
경산(서울),경북 경산시 진량면신상리 995-3
건천(서울),경북 경주시 건천읍금척리 683-2
언양(서울),울산광역시 울주군 언양읍반곡리 966-14
신탄진(서울),대전시 대덕구 상서동236-1
청주(서울),충북 청원군 옥산면 장남리284-16
양산(서울),경남 양산시 동면 내송리788번지
김천(서울),경북 김천시 농소면신촌리 728-1
섬진강(부산),전남 광양시 진월면신아리 1192-1
진영(부산),경남 김해시 진영읍우동리(하계로96번길)94-4
사천(부산),경남 사천시 곤양면묵곡리(서삼로) 619번길
진주(부산),경남 진주시 호탄동382 외 62필지
함안(부산),경남 함안군 군북면유현리 산 993-6
보성녹차(영암),전남 보성군 미력면화방리 산 196-7
섬진강(순천),전남 광양시 진월면신아리 1192-1
진영(순천),경남 김해시 진영읍우동리 289-1
문산(순천),경남 진주시 문산읍소문리 968-2
사천(순천),경남 사천시 곤양면묵곡리 산171-31
함안(순천),경남 함안군 군북면유현리 산 993-1
보성녹차(순천),전남 보성군 겸백면수남리 385-3
논공(옥포),대구 달성군 논공읍삼리 462-1
논공(고서),대구광역시 달성군 논공읍삼리리 458-5
함평나비(광주),전남 함평군 엄다면화양리 산10-3번지
함평나비(무안),전남 함평군 엄다면화양리 1025-3번지
지리산(대구),전북 남원시 아영면아곡리 산83
거창(대구),경남 거창군 가조면도리 산181
강천산(대구),전라북도 순창군 순창읍 88올림픽고속도로 22(백산리 927-1)
지리산(광주),전북 남원시 아영면아곡리 79-1
거창(광주),경남 거창군 가조면도리(가조가야로)
강천산(광주),전북 순창군 순창읍광주대구고속도로 27
화성(목포),경기도 화성군 팔탄면덕천리 102-1
행담도,충남 당진군 신평면매산리 513
대천(목포),충남 보령시 주교면주교리 933-5
서산(목포),충청남도 서산시 해미면삼송리 119
군산(목포),전라북도 군산시 성산면산곡리 산1
고창고인돌(목포),전북 고창군 신림면벽송리 557-10
함평천지(목포),전남 함평군 함평읍장교리 산112-13
홍성(목포),충남 홍성군 은하면금국리 292-3
서천(목포),충남 서천군 비인면서해안고속도로169(성산리)
화성(서울),경기도 화성군 팔탄면덕천리 102-3
행담도,충남 당진군 신평면매산리 513
대천(서울),충남 보령시 주교면주교리 904-34
서산(서울),충청남도 서산시 해미면삼송리 산46-2
군산(서울),전북 군산시 나포면서해안고속도로 3182
고창고인돌(서울),전북 고창군 고창읍신월리 66-1
함평천지(서울),전라남도 함평군 손불면죽암리 29-1
홍성(서울),경기 이천시 부발읍아미리
서천(서울),충남 서천군 비인면성산리 22-4
목감(서울),경기 시흥시 목감동125 외9필지
진안마이산(익산),전북 진안군 진안읍단양리 171-110
진안마이산(장수),전북 진안군 진안읍단양리 333-75
영천(대구),경북 영천시 임고면금대리 99
청통(대구),경북 영천시 청통면우천리 산 160-4
영천(포항),경북 영천시 임고면금대리 103
와촌(포항),경북 경산시 와촌면강학리 산71-1 외 14필지
여산(천안),전북 익산시 여산면호산리 24-1
정읍녹두장군(천안),전북 정읍시 북면남산리 20-5
곡성(천안),전남 곡성군 겸면가정리 347
백양사(천안),전라남도 장성군 북일면 호남고속도로 108 (백양사휴게소(상행))박산리 158
주암(천안),전남 순천시 주암면고산리 57-4
이서(천안),서울 송파구 송파동185-5
여산(순천),전북 익산시 여산면호산리 32-6
정읍녹두장군(순천),전북 정읍시 북면남산리 19-1
주암(순천),전남 순천시 주암면고산리 252-2
백양사(순천),전라남도 장성군 북이면 호남고속도로 107 (백양사휴게소(하))
곡성(순천),전남 곡성군 겸면가정리 산96-6
순천(순천),전남 순천시 서면비월리 산169-2
이서(순천),서울 송파구 송파동185-5
오수(순천),전북 임실군 오수면오산리 675-18
황전(순천),전남 순천시 황전면선변리 560-7
오수(완주),전북 임실군 오수면대명리 83-16
황전(완주),전남 순천시 황전면선변리 595-7
화서(영덕),경북 상주시 화서면상용리 408
공주(당진),충남 공주시 의당면청룡리 65-16
예산(당진),충남 예산군 신양면서계양리 672-3
의성(청주),경북 의성군 안계면새못안길 45-49
청송(청주),경북 청송군 파천면중평병부길 203-92
속리산(청주),충북 보은군 마로면적암리 180외 19필지
공주(대전),충남 공주시 장기면송선리 320-3
예산(대전),충남 예산군 신양면서계양리 662-28
의성(영덕),경북 의성군 안계면새못안길 45-47
청송(영덕),경북 청송군 파천면중평병부길 203-115
함양(통영),경남 함양군 지곡면보산리산40-1
함양(하남),경남 함양군 지곡면보산리 278-6
산청(통영),경남 산청군 단성면방목리 산68-7
금산인삼랜드(통영),충남 금산군 군북면외부리 718
덕유산(통영),전라북도 장수군 계북면통영대전고속도로 147
고성공룡나라(통영),경남 고성군 대가면송계리 447-7번지
산청(대전),경남 산청군 단성면방목리 산71-7
금산인삼랜드(대전),충남 금산군 군북면대암길 34-30
덕유산(대전),전라북도 무주군 안성면공진리 471
고성공룡나라(대전),경남 고성군 대가면신전리 85번지
하남드림,경기 하남시 중부고속도로 117
이천(남이),경기 이천시 마장면목리 142
오창(남이),충북 청원군 오창면화산리 395-15
음성(남이),충북 음성군 삼성면용성리 산44
마장,경기 이천시 마장면목리 산 13-32
이천(하남),경기 이천시 신둔면용면리
오창(하남),충북 청원군 오창면화산리 396-10
음성(하남),충북 음성군 삼성면양덕리 100-1
마장,경기 이천시 마장면목리 산 13-32
안성맞춤(제천),경기 안성시 서운면신능리 51-11 외 29필지
금왕(제천),충북 음성군 금왕읍용계리
천등산(제천),충북 충주시 산척면평택제천고속도로 106
안성맞춤(평택),경기 안성시 서운면신능리 51-16 외 23필지
금왕(평택),충북 음성군 금왕읍용계리
천등산(평택),충북 충주시 산척면평택제천고속도로 109
영산(창원),경남 창녕군 영산면신제리 1471-1
선산(양평),경북 구미시 옥성면대원리 31-3
충주(양평),충북 충주시 중앙탑면 중부내륙고속도록 230-1
괴산(양평),충북 괴산군 장연면오가리 293-2
문경(양평),경북 문경시 유곡동458
남성주참외(양평),경북 성주군 용암면본리 428
서여주(양평),서울 강남구 논현동 165
성주(창원),경북 성주군 초전면용봉리 산129-48
칠서(양평),경남 함안군 칠서면계내리 35
선산(창원),경북 구미시 옥성면대원리 85-1
충주(창원),충북 충주시 가금면용전리 산 50-3
괴산(창원),충북 괴산군 장연면오가리 103번지
문경(창원),경북 문경시 유곡동460
남성주참외(창원),경북 성주군 선남면명포리 880-5
서여주(창원),서울 강남구 논현동165
성주(양평),경북 성주군 초전면용봉리(중부내륙고속도로)
용인(강릉),경기도 용인시 고림동9번지
여주(강릉),경기 여주군 가남면본두리 687-1
횡성(강릉),강원도 횡성군 안흥면 영동고속도로 154
문막(강릉),강원 원주시 문막읍동화리 113
평창(강릉),강원도 평창군 용평면이목정리 778-2
강릉(강릉),강원도 강릉시 성산면보광리 산273
덕평,경기 이천시 마장면각평리 319
용인(인천),경기도 용인시 고림동89번지
여주(인천),경기도 여주시 가남읍화평길 116
문막(인천),강원 원주시 문막읍포진리
횡성(인천),강원 횡성군 안흥면봉화로 소사5길 29
평창(인천),강원 평창군 용평면이목정리
강릉(인천),강원도 강릉시 성산면보광리 산4-2
덕평,경기 이천시 마장면각평리 319
치악(부산),강원 원주시 신림면금창리(치악로)416 치악(부산)휴게소
안동(부산),경북 안동시 풍산읍계평리 산547-6
군위(부산),경북 군위군 군위읍오곡리 산67-5
단양팔경(부산),충청북도 단양군 적성면기동리 산74-1
춘천(부산),강원 춘천시 동내면 사암리산112-1
동명(부산),경북 칠곡군 동명면가천리 120-2
원주(부산),강원 원주시 호저면옥산리 211
홍천강(춘천),강원도 홍천군 북방면소매곡리 294
치악(춘천),강원도 원주시 신림면금창리 500-55
안동(춘천),경북 안동시 풍산읍계평리 산128-2
군위(춘천),경북 군위군 군위읍오곡리 산68-8
단양팔경(춘천),충청북도 단양군 단성면하방리 56
동명(춘천),경북 칠곡군 동명면 중앙고속도로 122
원주(춘천),강원 원주시 호저면옥산리 219-1
홍천(서울),대전광역시 서구 대덕대로220번길 46(둔산동)
내린천,강원 인제군 상남면 하남리 372번지
홍천(양양),대전광역시 서구 대덕대로220번길 46(둔산동)
내린천,강원 인제군 상남면 하남리 372번지
동해(삼척),강원도 동해시 망상동산5-1
구정(삼척),강원 강릉시 구정면제비리 888
옥계(속초),강원 강릉시 옥계면도직리 산2-2
구정(속초),강원 강릉시 구정면동해고속도로 346
외동(부산),경상북도 경주시 외동읍 내외로 577-189상석길 58-74
외동(포항),경북 경주시 외동읍상석길 58-70
시흥하늘,경기 시흥시 조남동서울외곽순환고속도로
구리(일산),경기 구리시 사노동170-13 구리고속도로휴게소
장유(서부산),경남 김해시 장유면부곡리 53-1
부여백제(서천),충남 부여군 내산면율암리  134
부여백제(공주),충남 부여군 내산면율암리 149-5
벌곡(논산),충남 논산시 벌곡면신양리 475
벌곡(대전),충남 논산시 벌곡면양산리124-1
삼국유사군위(상주),경상북도 영천시 신녕면 치산효령로 989-23
군위영천(영천),경상북도 영천시 신녕면 치산효령로 865-43
낙동강구미(상주),경상북도 구미시 도개면 용산3길 132122-65
낙동강의성(영천),경상북도 의성군 단밀면 도안로 757-68
현풍(대구),대구광역시 달성군 현풍면성하리 342
현풍(창원),대구 달성군 현풍면성하리 286
