No,name,address,경도,위도,상태
1,서울만남(부산),서울 서초구 원지동10-16,127.0421452,37.46007481,정좌표
2,기흥(부산),경기 용인시 기흥구공세로 173 기흥휴게소,127.1042455,37.23532864,정좌표
3,안성(부산),경기 안성시 원곡면경부고속도로 365,127.1447155,37.01358163,정좌표
4,망향(부산),충남 천안시 성거읍요방리 121,127.1808086,36.85531414,정좌표
5,옥산(부산),충북 청원군 옥산면오산리 589-15,127.369686,36.65761,
6,천안호두(부산),충남 천안시 수신면신풍리 447-3,127.2642059,36.73021186,정좌표
7,죽암(부산),충북 청원군 현도면선동1길 40-58,127.429205,36.48669,
8,금강(부산),충북 옥천군 동이면조령리 568,127.6736161,36.27985734,인근좌표
9,황간(부산),충북 영동군 황간면회포리 103-2,127.8538437,36.25252061,정좌표
10,추풍령(부산),경북 김천시 봉산면광천리 691,128.0005031,36.20040783,정좌표
11,평사(부산),경북 경산시 진량읍경부고속도로105,128.8688868,35.88610423,정좌표
12,칠곡(부산),경북 칠곡군 왜관읍아곡리(경부고속도로) 159,128.4306307,36.01470483,인근좌표
13,건천(부산),경북 경주시 건천읍방내리 14,129.1094877,35.83028532,정좌표
14,언양(부산),울산광역시 울주군 언양읍태기리 684-1,129.1380839,35.5959093,정좌표
15,옥천(부산),충북 옥천군 옥천읍매화리 236-16,127.5941578,36.2983169,인근좌표
16,경주(부산),경북 경주시 내남면월산리,129.192746,35.72405,
17,김천(부산),경북 김천시 농소면신촌리 730-2,128.164056,36.12977971,정좌표
18,옥천만남의광장,충북 옥천군 옥천읍중앙로 135,127.5719062,36.30870506,정좌표
19,죽전(서울),경기 용인시 죽전2동866-2 ,127.1045853,37.33253266,정좌표
20,안성(서울),경기도 안성군 원곡면산하리 경부고속도로 372,127.132541,37.076848,
21,천안삼거리(서울),충남 천안시 구성동171,127.1695419,36.79082404,인근좌표
22,죽암(서울),충북 청원군 현도면죽전리 314,127.430768,36.496836,
23,옥천(서울),충북 옥천군 옥천읍매화리(옥천동이로) 옥천동이로 242-34,127.5975736,36.29790886,정좌표
24,황간(서울),충북 영동군 황간면회포리 114,127.8531653,36.24949589,정좌표
25,입장거봉포도(서울),충남 천안시 입장면가산리 361-7,127.1944443,36.94157117,정좌표
26,추풍령(서울),경북 김천시 봉산면광천리 737-1,128.0030198,36.1997851,정좌표
27,칠곡(서울),경북 칠곡군 왜관읍아곡리 138,128.4306121,36.01219632,정좌표
28,경산(서울),경북 경산시 진량면신상리 995-3,128.8102,35.87902,
29,건천(서울),경북 경주시 건천읍금척리 683-2,129.1092017,35.83202478,정좌표
30,언양(서울),울산광역시 울주군 언양읍반곡리 966-14,129.1428127,35.59870567,인근좌표
31,신탄진(서울),대전시 대덕구 상서동236-1,127.4179879,36.42750792,정좌표
32,청주(서울),충북 청원군 옥산면 장남리284-16,127.349188,36.716017,
33,양산(서울),경남 양산시 동면 내송리788번지,129.0545089,35.32394066,정좌표
34,김천(서울),경북 김천시 농소면신촌리 728-1,128.1621145,36.13094952,정좌표
35,섬진강(부산),전남 광양시 진월면신아리 1192-1,127.7703852,34.98471126,정좌표
36,진영(부산),경남 김해시 진영읍우동리(하계로96번길)94-4,128.7209947,35.27323745,인근좌표
37,사천(부산),경남 사천시 곤양면묵곡리(서삼로) 619번길,127.991067,35.08386976,정좌표
38,진주(부산),경남 진주시 호탄동382 외 62필지,128.1223632,35.15973118,정좌표
39,함안(부산),경남 함안군 군북면유현리 산 993-6,128.3490496,35.30500369,인근좌표
40,보성녹차(영암),전남 보성군 미력면화방리 산 196-7,127.1275827,34.81362365,정좌표
41,섬진강(순천),전남 광양시 진월면신아리 1192-1,127.7703852,34.98471126,정좌표
42,진영(순천),경남 김해시 진영읍우동리 289-1,128.7156181,35.27987906,정좌표
43,문산(순천),경남 진주시 문산읍소문리 968-2,128.1527877,35.17139679,인근좌표
44,사천(순천),경남 사천시 곤양면묵곡리 산171-31,127.9822363,35.08937653,인근좌표
45,함안(순천),경남 함안군 군북면유현리 산 993-1,128.3490496,35.30500369,인근좌표
46,보성녹차(순천),전남 보성군 겸백면수남리 385-3,127.1824599,34.80881347,정좌표
47,논공(옥포),대구 달성군 논공읍삼리 462-1,128.4024699,35.76627791,정좌표
48,논공(고서),대구광역시 달성군 논공읍삼리리 458-5,128.4018954,35.76679709,정좌표
49,함평나비(광주),전남 함평군 엄다면화양리 산10-3번지,126.5120986,35.03895296,인근좌표
50,함평나비(무안),전남 함평군 엄다면화양리 1025-3번지,126.5163968,35.04425795,인근좌표
51,지리산(대구),전북 남원시 아영면아곡리 산83,127.5700316,35.48131997,인근좌표
52,거창(대구),경남 거창군 가조면도리 산181,128.0573887,35.70842883,정좌표
53,강천산(대구),전라북도 순창군 순창읍 88올림픽고속도로 22(백산리 927-1),127.1513873,35.37484947,정좌표
54,지리산(광주),전북 남원시 아영면아곡리 79-1,127.5739028,35.47818218,인근좌표
55,거창(광주),경남 거창군 가조면도리(가조가야로),128.05794,35.708587,
56,강천산(광주),전북 순창군 순창읍광주대구고속도로 27,127.1063326,35.36532815,정좌표
57,화성(목포),경기도 화성군 팔탄면덕천리 102-1,126.870983,37.143556,
58,행담도,충남 당진군 신평면매산리 513,126.807514,36.944705,
59,대천(목포),충남 보령시 주교면주교리 933-5,126.5568288,36.37211552,정좌표
60,서산(목포),충청남도 서산시 해미면삼송리 119,126.5654281,36.74112154,정좌표
61,군산(목포),전라북도 군산시 성산면산곡리 산1,126.8149004,35.98093752,정좌표
62,고창고인돌(목포),전북 고창군 신림면벽송리 557-10,126.6739203,35.46815396,정좌표
63,함평천지(목포),전남 함평군 함평읍장교리 산112-13,126.4781716,35.06971395,정좌표
64,홍성(목포),충남 홍성군 은하면금국리 292-3,126.5799362,36.55206917,정좌표
65,서천(목포),충남 서천군 비인면서해안고속도로169(성산리),126.6264495,36.12954872,정좌표
66,화성(서울),경기도 화성군 팔탄면덕천리 102-3,126.88125,37.143454,
67,행담도,충남 당진군 신평면매산리 513,126.807514,36.944705,
68,대천(서울),충남 보령시 주교면주교리 904-34,126.5572805,36.37560102,인근좌표
69,서산(서울),충청남도 서산시 해미면삼송리 산46-2,126.5641484,36.73517318,인근좌표
70,군산(서울),전북 군산시 나포면서해안고속도로 3182,126.797525,36.01932904,인근좌표
71,고창고인돌(서울),전북 고창군 고창읍신월리 66-1,126.6819941,35.45147249,인근좌표
72,함평천지(서울),전라남도 함평군 손불면죽암리 29-1,126.4823008,35.12957987,정좌표
73,홍성(서울),경기 이천시 부발읍아미리,126.581994,36.552314,
74,서천(서울),충남 서천군 비인면성산리 22-4,126.628419,36.13220949,정좌표
75,목감(서울),경기 시흥시 목감동125 외9필지,126.8679898,37.38988583,정좌표
76,진안마이산(익산),전북 진안군 진안읍단양리 171-110,127.4263685,35.77698946,정좌표
77,진안마이산(장수),전북 진안군 진안읍단양리 333-75,127.4249556,35.77481901,정좌표
78,영천(대구),경북 영천시 임고면금대리 99,129.0465759,36.0518547,정좌표
79,청통(대구),경북 영천시 청통면우천리 산 160-4,128.8585595,35.99355845,정좌표
80,영천(포항),경북 영천시 임고면금대리 103,129.0453889,36.0512704,정좌표
81,와촌(포항),경북 경산시 와촌면강학리 산71-1 외 14필지,128.7756273,35.95217198,정좌표
82,여산(천안),전북 익산시 여산면호산리 24-1,127.1147827,36.04835762,인근좌표
83,정읍녹두장군(천안),전북 정읍시 북면남산리 20-5,126.8738479,35.60982114,인근좌표
84,곡성(천안),전남 곡성군 겸면가정리 347,127.1535081,35.25932297,정좌표
85,백양사(천안),전라남도 장성군 북일면 호남고속도로 108 (백양사휴게소(상행))박산리 158,126.8073672,35.39264389,정좌표
86,주암(천안),전남 순천시 주암면고산리 57-4,127.2701538,35.08400041,인근좌표
87,이서(천안),서울 송파구 송파동185-5,127.1153546,37.4991084,정좌표
88,여산(순천),전북 익산시 여산면호산리 32-6,127.1120634,36.04715132,인근좌표
89,정읍녹두장군(순천),전북 정읍시 북면남산리 19-1,126.8757097,35.60999603,인근좌표
90,주암(순천),전남 순천시 주암면고산리 252-2,127.2648802,35.07602941,정좌표
91,백양사(순천),전라남도 장성군 북이면 호남고속도로 107 (백양사휴게소(하)),126.8054084,35.39474587,정좌표
92,곡성(순천),전남 곡성군 겸면가정리 산96-6,127.1503395,35.25857298,정좌표
93,순천(순천),전남 순천시 서면비월리 산169-2,127.4444245,35.00930523,정좌표
94,이서(순천),서울 송파구 송파동185-5,127.1153546,37.4991084,정좌표
95,오수(순천),전북 임실군 오수면오산리 675-18,127.3103276,35.5409639,정좌표
96,황전(순천),전남 순천시 황전면선변리 560-7,127.4547562,35.14845295,정좌표
97,오수(완주),전북 임실군 오수면대명리 83-16,127.3297386,35.55178976,인근좌표
98,황전(완주),전남 순천시 황전면선변리 595-7,127.4546742,35.15345796,정좌표
99,화서(영덕),경북 상주시 화서면상용리 408,127.9242775,36.44399388,정좌표
100,공주(당진),충남 공주시 의당면청룡리 65-16,127.1669977,36.49855272,정좌표
101,예산(당진),충남 예산군 신양면서계양리 672-3,126.8441116,36.62067358,정좌표
102,의성(청주),경북 의성군 안계면새못안길 45-49,128.444124,36.41083859,정좌표
103,청송(청주),경북 청송군 파천면중평병부길 203-92,129.0115123,36.45684693,정좌표
104,속리산(청주),충북 보은군 마로면적암리 180외 19필지,127.8693548,36.44804863,정좌표
105,공주(대전),충남 공주시 장기면송선리 320-3,127.166651,36.496785,
106,예산(대전),충남 예산군 신양면서계양리 662-28,126.8416532,36.62298905,인근좌표
107,의성(영덕),경북 의성군 안계면새못안길 45-47,128.4473692,36.40977725,정좌표
108,청송(영덕),경북 청송군 파천면중평병부길 203-115,129.0138212,36.45549824,정좌표
109,함양(통영),경남 함양군 지곡면보산리산40-1,127.7585344,35.5511792,정좌표
110,함양(하남),경남 함양군 지곡면보산리 278-6,127.7604286,35.55166572,정좌표
111,산청(통영),경남 산청군 단성면방목리 산68-7,127.9368926,35.33292889,정좌표
112,금산인삼랜드(통영),충남 금산군 군북면외부리 718,127.496628,36.15265987,정좌표
113,덕유산(통영),전라북도 장수군 계북면통영대전고속도로 147,127.6428527,35.81254344,정좌표
114,고성공룡나라(통영),경남 고성군 대가면송계리 447-7번지,128.2623164,35.05259789,인근좌표
115,산청(대전),경남 산청군 단성면방목리 산71-7,127.9389377,35.33192519,정좌표
116,금산인삼랜드(대전),충남 금산군 군북면대암길 34-30,127.4977682,36.15456234,정좌표
117,덕유산(대전),전라북도 무주군 안성면공진리 471,127.646375,35.8160316,정좌표
118,고성공룡나라(대전),경남 고성군 대가면신전리 85번지,128.2519633,35.056038,인근좌표
119,하남드림,경기 하남시 중부고속도로 117,127.2065095,37.53031486,정좌표
120,이천(남이),경기 이천시 마장면목리 142,127.4038241,37.2646053,정좌표
121,오창(남이),충북 청원군 오창면화산리 395-15,127.481809,36.758444,
122,음성(남이),충북 음성군 삼성면용성리 산44,127.4799765,37.02067472,정좌표
123,마장,경기 이천시 마장면목리 산 13-32,127.4076752,37.26371242,정좌표
124,이천(하남),경기 이천시 신둔면용면리,127.378303,37.293912,
125,오창(하남),충북 청원군 오창면화산리 396-10,127.482019,36.756683,
126,음성(하남),충북 음성군 삼성면양덕리 100-1,127.4905512,37.04123862,정좌표
127,마장,경기 이천시 마장면목리 산 13-32,127.4076752,37.26371242,정좌표
128,안성맞춤(제천),경기 안성시 서운면신능리 51-11 외 29필지,127.2767463,36.96880966,정좌표
129,금왕(제천),충북 음성군 금왕읍용계리,127.590901,36.969222,
130,천등산(제천),충북 충주시 산척면평택제천고속도로 106,127.9414624,37.06156502,정좌표
131,안성맞춤(평택),경기 안성시 서운면신능리 51-16 외 23필지,127.2759752,36.96918597,정좌표
132,금왕(평택),충북 음성군 금왕읍용계리,127.589574,36.970367,
133,천등산(평택),충북 충주시 산척면평택제천고속도로 109,127.9879716,37.07653574,정좌표
134,영산(창원),경남 창녕군 영산면신제리 1471-1,128.4971319,35.42958299,인근좌표
135,선산(양평),경북 구미시 옥성면대원리 31-3,128.2474437,36.27893044,정좌표
136,충주(양평),충북 충주시 중앙탑면 중부내륙고속도록 230-1,127.8585057,37.02566644,정좌표
137,괴산(양평),충북 괴산군 장연면오가리 293-2,127.959964,36.83231539,정좌표
138,문경(양평),경북 문경시 유곡동458,128.152759,36.61986279,정좌표
139,남성주참외(양평),경북 성주군 용암면본리 428,128.3042494,35.83504972,정좌표
140,서여주(양평),서울 강남구 논현동 165,127.0236628,37.50715874,정좌표
141,성주(창원),경북 성주군 초전면용봉리 산129-48,128.2604354,36.00896372,인근좌표
142,칠서(양평),경남 함안군 칠서면계내리 35,128.4964388,35.37097043,정좌표
143,선산(창원),경북 구미시 옥성면대원리 85-1,128.2489651,36.27612249,정좌표
144,충주(창원),충북 충주시 가금면용전리 산 50-3,127.837155,37.02241,
145,괴산(창원),충북 괴산군 장연면오가리 103번지,127.9583155,36.83130526,정좌표
146,문경(창원),경북 문경시 유곡동460,128.1488532,36.62201497,정좌표
147,남성주참외(창원),경북 성주군 선남면명포리 880-5,128.3162851,35.86863791,정좌표
148,서여주(창원),서울 강남구 논현동165,127.0236628,37.50715874,정좌표
149,성주(양평),경북 성주군 초전면용봉리(중부내륙고속도로),128.261101,36.008501,
150,용인(강릉),경기도 용인시 고림동9번지,127.2408474,37.24643776,정좌표
151,여주(강릉),경기 여주군 가남면본두리 687-1,127.569008,37.238046,
152,횡성(강릉),강원도 횡성군 안흥면 영동고속도로 154,128.1359127,37.46353268,정좌표
153,문막(강릉),강원 원주시 문막읍동화리 113,127.8566498,37.334844,인근좌표
154,평창(강릉),강원도 평창군 용평면이목정리 778-2,128.4549717,37.60565482,인근좌표
155,강릉(강릉),강원도 강릉시 성산면보광리 산273,128.803882,37.75917027,정좌표
156,덕평,경기 이천시 마장면각평리 319,127.3888849,37.24060178,정좌표
157,용인(인천),경기도 용인시 고림동89번지,127.236624,37.24818128,정좌표
158,여주(인천),경기도 여주시 가남읍화평길 116,127.5687925,37.2397378,정좌표
159,문막(인천),강원 원주시 문막읍포진리,127.817106,37.297626,
160,횡성(인천),강원 횡성군 안흥면봉화로 소사5길 29,128.1326864,37.46646247,인근좌표
161,평창(인천),강원 평창군 용평면이목정리,128.462555,37.60974,
162,강릉(인천),강원도 강릉시 성산면보광리 산4-2,128.80676,37.75908972,정좌표
163,덕평,경기 이천시 마장면각평리 319,127.3888849,37.24060178,정좌표
164,치악(부산),강원 원주시 신림면금창리(치악로)416 치악(부산)휴게소,128.0510595,37.26140249,정좌표
165,안동(부산),경북 안동시 풍산읍계평리 산547-6,128.6617688,36.55195065,인근좌표
166,군위(부산),경북 군위군 군위읍오곡리 산67-5,128.5754984,36.26513188,인근좌표
167,단양팔경(부산),충청북도 단양군 적성면기동리 산74-1,128.2886583,36.99522306,정좌표
168,춘천(부산),강원 춘천시 동내면 사암리산112-1,127.7697589,37.8167543,정좌표
169,동명(부산),경북 칠곡군 동명면가천리 120-2,128.546237,36.00790369,정좌표
170,원주(부산),강원 원주시 호저면옥산리 211,127.9295519,37.43368831,정좌표
171,홍천강(춘천),강원도 홍천군 북방면소매곡리 294,127.8276556,37.71251199,정좌표
172,치악(춘천),강원도 원주시 신림면금창리 500-55,128.0473917,37.25624266,인근좌표
173,안동(춘천),경북 안동시 풍산읍계평리 산128-2,128.6430961,36.55163114,정좌표
174,군위(춘천),경북 군위군 군위읍오곡리 산68-8,128.5774136,36.26717549,인근좌표
175,단양팔경(춘천),충청북도 단양군 단성면하방리 56,128.3228337,36.94245683,정좌표
176,동명(춘천),경북 칠곡군 동명면 중앙고속도로 122,128.5491428,36.00598556,정좌표
177,원주(춘천),강원 원주시 호저면옥산리 219-1,127.9324846,37.4340755,인근좌표
178,홍천(서울),대전광역시 서구 대덕대로220번길 46(둔산동),127.3817971,36.35191875,정좌표
179,내린천,강원 인제군 상남면 하남리 372번지,128.2875541,37.91693938,정좌표
180,홍천(양양),대전광역시 서구 대덕대로220번길 46(둔산동),127.3817971,36.35191875,정좌표
181,내린천,강원 인제군 상남면 하남리 372번지,128.2875541,37.91693938,정좌표
182,동해(삼척),강원도 동해시 망상동산5-1,129.0730474,37.60197536,정좌표
183,구정(삼척),강원 강릉시 구정면제비리 888,128.8513804,37.72222358,정좌표
184,옥계(속초),강원 강릉시 옥계면도직리 산2-2,129.061347,37.6158726,인근좌표
185,구정(속초),강원 강릉시 구정면동해고속도로 346,128.8543381,37.72289691,정좌표
186,외동(부산),경상북도 경주시 외동읍 내외로 577-189상석길 58-74,129.2768641,35.69454364,정좌표
187,외동(포항),경북 경주시 외동읍상석길 58-70,129.2884412,35.67423154,정좌표
188,시흥하늘,경기 시흥시 조남동서울외곽순환고속도로,126.855471,37.383754,
189,구리(일산),경기 구리시 사노동170-13 구리고속도로휴게소,127.1392068,37.62790694,정좌표
190,장유(서부산),경남 김해시 장유면부곡리 53-1,128.793632,35.211968,
191,부여백제(서천),충남 부여군 내산면율암리  134,126.7979451,36.25891048,정좌표
192,부여백제(공주),충남 부여군 내산면율암리 149-5,126.8013045,36.25991768,정좌표
193,벌곡(논산),충남 논산시 벌곡면신양리 475,127.2736366,36.21827415,정좌표
194,벌곡(대전),충남 논산시 벌곡면양산리124-1,127.2704564,36.21050052,정좌표
195,삼국유사군위(상주),경상북도 영천시 신녕면 치산효령로 989-23,128.7183022,36.06756547,인근좌표
196,군위영천(영천),경상북도 영천시 신녕면 치산효령로 865-43,128.7183022,36.06756547,인근좌표
197,낙동강구미(상주),경상북도 구미시 도개면 용산3길 132122-65,128.2972123,36.3442725,
198,낙동강의성(영천),경상북도 의성군 단밀면 도안로 757-68,128.2958204,36.34569063,인근좌표
199,현풍(대구),대구광역시 달성군 현풍면성하리 342,128.438135,35.701816,
200,현풍(창원),대구 달성군 현풍면성하리 286,128.435346,35.701723,
